id,titulo,dados,nota
,"1. Um Sonho de Liberdade","1994 2h 22m16","9.3 (2.8M)Rate"
,"2. O Poderoso Chefão","1972 2h 55m14","9.2 (1.9M)Rate"
,"3. Batman: O Cavaleiro das Trevas","2008 2h 32m12","9.0 (2.8M)Rate"
